,health_region,latitude,longitude,date_reported,count
3080,Haldimand-Norfolk Health Unit,42.8544467138721,-80.178035377337,2020/01/01 ,1
8396,"Region of Waterloo, Public Health",43.4628358316936,-80.538675714985,2020/01/01 ,1
3081,Haldimand-Norfolk Health Unit,42.8544467138721,-80.178035377337,2020/01/10 ,2
1858,Eastern Ontario Health Unit,45.2730604989199,-74.9525787332565,2020/01/16 ,1
10045,Toronto Public Health,43.7258448177115,-79.38955775264292,2020/01/21 ,1
10046,Toronto Public Health,43.7258448177115,-79.38955775264292,2020/01/22 ,2
5592,Middlesex-London Health Unit,42.9957155911644,-81.4569831975843,2020/01/24 ,1
7697,Peel Public Health,43.761613367985795,-79.8135709174832,2020/01/31 ,1
3845,Hastings and Prince Edward Counties Health Unit,44.63116713737609,-77.551860572946,2020/02/01 ,1
10314,Vancouver Coastal,50.474624222847005,-124.057915271406,2020/02/02 ,1
7698,Peel Public Health,43.761613367985795,-79.8135709174832,2020/02/02 ,2
10047,Toronto Public Health,43.7258448177115,-79.38955775264292,2020/02/05 ,3
7699,Peel Public Health,43.761613367985795,-79.8135709174832,2020/02/07 ,3
7215,Ottawa Public Health,45.179578394671296,-75.79995194779009,2020/02/10 ,1
11319,York Region Public Health Services,44.0749766386361,-79.42821218354659,2020/02/10 ,1
4005,Interior,50.9405253201888,-119.73621864343201,2020/02/11 ,1
10048,Toronto Public Health,43.7258448177115,-79.38955775264292,2020/02/14 ,5
10049,Toronto Public Health,43.7258448177115,-79.38955775264292,2020/02/15 ,6
10050,Toronto Public Health,43.7258448177115,-79.38955775264292,2020/02/16 ,7
11320,York Region Public Health Services,44.0749766386361,-79.42821218354659,2020/02/17 ,2
7700,Peel Public Health,43.761613367985795,-79.8135709174832,2020/02/17 ,4
11321,York Region Public Health Services,44.0749766386361,-79.42821218354659,2020/02/19 ,3
10685,Wellington-Dufferin-Guelph Public Health,43.853641543071014,-80.3720849799467,2020/02/20 ,1
7216,Ottawa Public Health,45.179578394671296,-75.79995194779009,2020/02/20 ,2
2586,Fraser,49.50523412520022,-122.004814371323,2020/02/20 ,1
3600,Hamilton Public Health Services,43.253243134117405,-79.9584634171255,2020/02/20 ,1
10051,Toronto Public Health,43.7258448177115,-79.38955775264292,2020/02/20 ,9
10052,Toronto Public Health,43.7258448177115,-79.38955775264292,2020/02/21 ,10
2587,Fraser,49.50523412520022,-122.004814371323,2020/02/21 ,2
7217,Ottawa Public Health,45.179578394671296,-75.79995194779009,2020/02/22 ,3
11322,York Region Public Health Services,44.0749766386361,-79.42821218354659,2020/02/22 ,6
8397,"Region of Waterloo, Public Health",43.4628358316936,-80.538675714985,2020/02/23 ,2
11323,York Region Public Health Services,44.0749766386361,-79.42821218354659,2020/02/23 ,7
10905,Windsor-Essex County Health Unit,42.15642327246579,-82.7775325262376,2020/02/23 ,1
7218,Ottawa Public Health,45.179578394671296,-75.79995194779009,2020/02/23 ,4
7701,Peel Public Health,43.761613367985795,-79.8135709174832,2020/02/24 ,5
10053,Toronto Public Health,43.7258448177115,-79.38955775264292,2020/02/24 ,11
1568,Durham Region Health Department,44.035149668883,-78.8824982293323,2020/02/24 ,1
7219,Ottawa Public Health,45.179578394671296,-75.79995194779009,2020/02/24 ,5
7702,Peel Public Health,43.761613367985795,-79.8135709174832,2020/02/25 ,6
11324,York Region Public Health Services,44.0749766386361,-79.42821218354659,2020/02/25 ,8
1859,Eastern Ontario Health Unit,45.2730604989199,-74.9525787332565,2020/02/25 ,2
10054,Toronto Public Health,43.7258448177115,-79.38955775264292,2020/02/26 ,12
1569,Durham Region Health Department,44.035149668883,-78.8824982293323,2020/02/26 ,2
5819,Montréal,45.5420718322781,-73.6056683339095,2020/02/27 ,1
11325,York Region Public Health Services,44.0749766386361,-79.42821218354659,2020/02/27 ,9
10315,Vancouver Coastal,50.474624222847005,-124.057915271406,2020/02/27 ,2
7960,Peterborough Public Health,44.5366772660357,-78.2123316102003,2020/02/27 ,1
7703,Peel Public Health,43.761613367985795,-79.8135709174832,2020/02/28 ,7
11326,York Region Public Health Services,44.0749766386361,-79.42821218354659,2020/02/28 ,11
10316,Vancouver Coastal,50.474624222847005,-124.057915271406,2020/02/28 ,3
10055,Toronto Public Health,43.7258448177115,-79.38955775264292,2020/02/28 ,14
9951,Thunder Bay District Health Unit,52.3972470879767,-88.53140488204839,2020/02/29 ,1
10056,Toronto Public Health,43.7258448177115,-79.38955775264292,2020/02/29 ,15
8398,"Region of Waterloo, Public Health",43.4628358316936,-80.538675714985,2020/02/29 ,3
7704,Peel Public Health,43.761613367985795,-79.8135709174832,2020/02/29 ,9
10906,Windsor-Essex County Health Unit,42.15642327246579,-82.7775325262376,2020/03/01 ,2
3601,Hamilton Public Health Services,43.253243134117405,-79.9584634171255,2020/03/01 ,2
1860,Eastern Ontario Health Unit,45.2730604989199,-74.9525787332565,2020/03/01 ,3
9707,Southwestern Public Health,42.9893301339841,-80.78600767813751,2020/03/01 ,1
10057,Toronto Public Health,43.7258448177115,-79.38955775264292,2020/03/01 ,19
7705,Peel Public Health,43.761613367985795,-79.8135709174832,2020/03/01 ,11
11327,York Region Public Health Services,44.0749766386361,-79.42821218354659,2020/03/01 ,13
5256,"Leeds, Grenville and Lanark District Health Unit",44.86378243852969,-76.11805843581192,2020/03/01 ,1
7961,Peterborough Public Health,44.5366772660357,-78.2123316102003,2020/03/01 ,2
7220,Ottawa Public Health,45.179578394671296,-75.79995194779009,2020/03/01 ,7
8399,"Region of Waterloo, Public Health",43.4628358316936,-80.538675714985,2020/03/01 ,7
3228,"Haliburton, Kawartha, Pine Ridge District Health Unit",44.671237943179996,-78.8972219188295,2020/03/02 ,1
10058,Toronto Public Health,43.7258448177115,-79.38955775264292,2020/03/02 ,25
7221,Ottawa Public Health,45.179578394671296,-75.79995194779009,2020/03/02 ,10
8400,"Region of Waterloo, Public Health",43.4628358316936,-80.538675714985,2020/03/02 ,8
10907,Windsor-Essex County Health Unit,42.15642327246579,-82.7775325262376,2020/03/02 ,3
3357,Halton Region Health Department,43.5120970944726,-79.89050808662621,2020/03/02 ,1
7706,Peel Public Health,43.761613367985795,-79.8135709174832,2020/03/02 ,12
9029,Simcoe Muskoka District Health Unit,44.7777546278497,-79.54577338792849,2020/03/03 ,1
10059,Toronto Public Health,43.7258448177115,-79.38955775264292,2020/03/03 ,35
10317,Vancouver Coastal,50.474624222847005,-124.057915271406,2020/03/03 ,6
3602,Hamilton Public Health Services,43.253243134117405,-79.9584634171255,2020/03/03 ,3
9851,Sudbury & District Health Unit,47.8465144535024,-83.047165707,2020/03/03 ,1
2588,Fraser,49.50523412520022,-122.004814371323,2020/03/03 ,3
7222,Ottawa Public Health,45.179578394671296,-75.79995194779009,2020/03/03 ,11
10686,Wellington-Dufferin-Guelph Public Health,43.853641543071014,-80.3720849799467,2020/03/04 ,2
8401,"Region of Waterloo, Public Health",43.4628358316936,-80.538675714985,2020/03/04 ,9
7707,Peel Public Health,43.761613367985795,-79.8135709174832,2020/03/04 ,14
10318,Vancouver Coastal,50.474624222847005,-124.057915271406,2020/03/04 ,10
11328,York Region Public Health Services,44.0749766386361,-79.42821218354659,2020/03/04 ,14
3358,Halton Region Health Department,43.5120970944726,-79.89050808662621,2020/03/04 ,2
10060,Toronto Public Health,43.7258448177115,-79.38955775264292,2020/03/04 ,42
7223,Ottawa Public Health,45.179578394671296,-75.79995194779009,2020/03/04 ,12
7708,Peel Public Health,43.761613367985795,-79.8135709174832,2020/03/05 ,16
4782,Laurentides,46.6452702894389,-74.9739693177174,2020/03/05 ,1
5593,Middlesex-London Health Unit,42.9957155911644,-81.4569831975843,2020/03/05 ,2
8059,Porcupine Health Unit,51.853103224034,-83.5157764345347,2020/03/05 ,1
10061,Toronto Public Health,43.7258448177115,-79.38955775264292,2020/03/05 ,49
4294,"Kingston, Frontenac and Lennox & Addington Public Health",44.6767544337525,-76.8842542359787,2020/03/05 ,1
9030,Simcoe Muskoka District Health Unit,44.7777546278497,-79.54577338792849,2020/03/05 ,5
2589,Fraser,49.50523412520022,-122.004814371323,2020/03/05 ,6
7962,Peterborough Public Health,44.5366772660357,-78.2123316102003,2020/03/05 ,3
3359,Halton Region Health Department,43.5120970944726,-79.89050808662621,2020/03/05 ,3
