CERB Week End,Total Paid CAD
2020-04-17,19804000000
2020-04-24,24250000000
2020-05-05,28570000000
2020-05-11,30482000000
2020-05-19,38410000000
2020-05-25,40330000000
2020-06-01,42589000000
2020-06-08,44639000000
2020-06-15,50240000000
2020-06-22,52144000000
2020-06-29,53528000000
2020-07-06,54787000000
2020-07-13,59412000000
2020-07-20,61260000000
2020-07-27,62750000000
2020-08-03,64260000000
2020-08-10,68460000000
2020-08-17,70030000000
2020-08-24,71250000000
2020-08-31,72550000000
2020-09-07,76430000000
2020-09-14,77990000000
2020-09-21,79300000000
2020-09-28,80620000000
2020-10-05,81640000000
