"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 30, 2020","928.90","930.88","932.10","919.76","112.89M","-0.63%"
"Oct 29, 2020","934.83","934.78","939.48","926.36","101.86M","0.42%"
"Oct 28, 2020","930.90","944.45","944.45","930.23","147.62M","-2.50%"
"Oct 27, 2020","954.81","959.93","960.71","953.49","107.18M","-0.53%"
"Oct 26, 2020","959.91","966.43","967.16","954.08","115.59M","-1.30%"
"Oct 23, 2020","972.54","972.23","973.84","967.95","100.57M","0.21%"
"Oct 22, 2020","970.52","966.48","971.68","962.61","107.29M","0.40%"
"Oct 21, 2020","966.63","968.80","972.48","965.42","98.33M","-0.50%"
"Oct 20, 2020","971.53","977.19","977.96","969.81","119.45M","-0.07%"
"Oct 19, 2020","972.22","985.23","985.23","971.43","119.06M","-1.06%"
"Oct 16, 2020","982.67","988.47","990.17","982.56","88.06M","-0.40%"
"Oct 15, 2020","986.63","975.23","987.75","974.15","89.83M","0.27%"
"Oct 14, 2020","983.99","990.27","991.73","983.10","135.58M","-0.39%"
"Oct 13, 2020","987.83","991.41","991.41","984.25","121.89M","-0.31%"
"Oct 09, 2020","990.95","993.32","995.09","988.62","101.70M","-0.03%"
"Oct 08, 2020","991.28","988.76","991.62","988.44","122.59M","0.55%"
"Oct 07, 2020","985.81","980.04","986.57","979.10","108.88M","1.32%"
"Oct 06, 2020","973.01","985.78","986.13","971.21","134.01M","-1.06%"
"Oct 05, 2020","983.40","975.02","984.11","973.72","129.90M","1.24%"
"Oct 02, 2020","971.32","959.85","972.39","958.76","100.44M","0.19%"
"Oct 01, 2020","969.49","971.21","972.43","965.84","118.59M","0.23%"
"Sep 30, 2020","967.27","975.07","977.66","965.48","148.29M","-0.67%"
"Sep 29, 2020","973.77","975.65","975.65","969.26","82.44M","-0.29%"
"Sep 28, 2020","976.60","976.72","979.74","973.34","133.62M","1.08%"
"Sep 25, 2020","966.18","954.44","967.50","951.84","94.09M","1.04%"
"Sep 24, 2020","956.22","949.05","961.19","946.14","92.05M","0.57%"
"Sep 23, 2020","950.82","971.38","972.26","950.59","107.51M","-1.75%"
"Sep 22, 2020","967.76","961.97","970.22","958.85","107.56M","1.05%"
"Sep 21, 2020","957.71","955.36","957.71","943.59","148.84M","-1.08%"
"Sep 18, 2020","968.21","973.24","974.53","966.55","293.52M","-0.22%"
