Date,Year,Price
2020-10-30,2020,928.90
2020-10-29,2020,934.83
2020-10-28,2020,930.90
2020-10-27,2020,954.81
2020-10-26,2020,959.91
2020-10-23,2020,972.54
2020-10-22,2020,970.52
2020-10-21,2020,966.63
2020-10-20,2020,971.53
2020-10-19,2020,972.22
2020-10-16,2020,982.67
2020-10-15,2020,986.63
2020-10-14,2020,983.99
2020-10-13,2020,987.83
2020-10-09,2020,990.95
2020-10-08,2020,991.28
2020-10-07,2020,985.81
2020-10-06,2020,973.01
2020-10-05,2020,983.40
2020-10-02,2020,971.32
2020-10-01,2020,969.49
2020-09-30,2020,967.27
2020-09-29,2020,973.77
2020-09-28,2020,976.60
2020-09-25,2020,966.18
2020-09-24,2020,956.22
2020-09-23,2020,950.82
2020-09-22,2020,967.76
2020-09-21,2020,957.71
2020-09-18,2020,968.21
2020-09-17,2020,970.37
2020-09-16,2020,973.79
2020-09-15,2020,983.64
2020-09-14,2020,980.14
2020-09-11,2020,973.83
2020-09-10,2020,970.76
2020-09-09,2020,983.24
2020-09-08,2020,965.57
2020-09-04,2020,972.50
2020-09-03,2020,987.07
2020-09-02,2020,"1,002.17"
2020-09-01,2020,998.29
2020-08-31,2020,990.52
2020-08-28,2020,"1,002.28"
2020-08-27,2020,"1,005.78"
2020-08-26,2020,"1,009.30"
2020-08-25,2020,998.34
2020-08-24,2020,997.79
2020-08-21,2020,990.99
2020-08-20,2020,995.77
2020-08-19,2020,994.06
2020-08-18,2020,996.50
2020-08-17,2020,998.16
2020-08-14,2020,990.34
2020-08-13,2020,990.98
2020-08-12,2020,995.48
2020-08-11,2020,991.09
2020-08-10,2020,995.10
2020-08-07,2020,991.10
2020-08-06,2020,992.83
2020-08-05,2020,988.62
2020-08-04,2020,980.88
2020-07-31,2020,968.67
2020-07-30,2020,978.31
2020-07-29,2020,977.15
2020-07-28,2020,965.65
2020-07-27,2020,969.04
2020-07-24,2020,960.06
2020-07-23,2020,961.57
2020-07-22,2020,970.92
2020-07-21,2020,971.50
2020-07-20,2020,973.04
2020-07-17,2020,970.07
2020-07-16,2020,964.87
2020-07-15,2020,966.01
2020-07-14,2020,958.31
2020-07-13,2020,941.72
2020-07-10,2020,945.35
2020-07-09,2020,935.68
2020-07-08,2020,939.19
2020-07-07,2020,937.72
2020-07-06,2020,942.24
2020-07-03,2020,939.35
2020-07-02,2020,940.86
2020-06-30,2020,934.21
2020-06-29,2020,928.60
2020-06-26,2020,915.65
2020-06-25,2020,932.27
2020-06-24,2020,921.79
2020-06-23,2020,937.54
2020-06-22,2020,935.25
2020-06-19,2020,933.38
2020-06-18,2020,934.92
2020-06-17,2020,930.87
2020-06-16,2020,936.00
2020-06-15,2020,925.96
2020-06-12,2020,920.06
2020-06-11,2020,908.66
2020-06-10,2020,946.07
2020-06-09,2020,954.25
2020-06-08,2020,961.68
2020-06-05,2020,956.81
2020-06-04,2020,936.71
2020-06-03,2020,941.72
2020-06-02,2020,931.70
2020-06-01,2020,919.77
2020-05-29,2020,917.17
2020-05-28,2020,923.16
2020-05-27,2020,924.65
2020-05-26,2020,915.67
2020-05-25,2020,910.80
2020-05-22,2020,900.53
2020-05-21,2020,898.39
2020-05-20,2020,906.09
2020-05-19,2020,899.03
2020-05-15,2020,886.85
2020-05-14,2020,881.22
2020-05-13,2020,882.04
2020-05-12,2020,904.10
2020-05-11,2020,916.89
2020-05-08,2020,905.55
2020-05-07,2020,897.50
2020-05-06,2020,898.73
2020-05-05,2020,896.99
2020-05-04,2020,893.10
2020-05-01,2020,882.65
2020-04-30,2020,891.63
2020-04-29,2020,920.28
2020-04-28,2020,894.17
2020-04-27,2020,884.53
2020-04-24,2020,873.14
2020-04-23,2020,861.97
2020-04-22,2020,865.91
2020-04-21,2020,844.63
2020-04-20,2020,871.98
2020-04-17,2020,871.85
2020-04-16,2020,842.76
2020-04-15,2020,847.02
2020-04-14,2020,864.47
2020-04-13,2020,853.35
2020-04-09,2020,859.44
2020-04-08,2020,846.79
2020-04-07,2020,830.58
2020-04-06,2020,831.47
2020-04-03,2020,792.20
2020-04-02,2020,800.81
2020-04-01,2020,787.95
2020-03-31,2020,819.89
2020-03-30,2020,798.60
2020-03-27,2020,772.12
2020-03-26,2020,816.23
2020-03-25,2020,802.55
2020-03-24,2020,772.42
2020-03-23,2020,687.27
2020-03-20,2020,721.98
2020-03-19,2020,742.03
2020-03-18,2020,714.74
2020-03-17,2020,767.52
2020-03-16,2020,745.79
2020-03-13,2020,828.77
2020-03-12,2020,747.75
2020-03-11,2020,854.67
2020-03-10,2020,893.62
2020-03-09,2020,863.33
2020-03-06,2020,965.55
2020-03-05,2020,987.40
2020-03-04,2020,"1,001.16"
2020-03-03,2020,979.43
2020-03-02,2020,988.97
2020-02-28,2020,972.15
2020-02-27,2020,997.73
2020-02-26,2020,"1,016.17"
2020-02-25,2020,"1,023.72"
2020-02-24,2020,"1,046.04"
